Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L_wheel,-5.51952053378843E-08,-4.08234191015505E-08,0.00816239616624845,0,0,0,0.117073623251785,0.000112327385744227,5.65176603638627E-10,-2.35999508266823E-12,0.000112327050716434,3.22688698678155E-12,0.000215330809043096,0,0,0,0,0,0,package://mecanum_left/meshes/L_wheel.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_wheel.STL,,217-2799-001 Rev1-1-2;217-2799-001 Rev1-1-1,wheel_1_tf,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_roller_guide_1,-0.00342174955600559,-0.0148936280091876,-5.54863778656073E-08,0,0,0,0.00548600638345929,4.75783450382942E-07,-2.99443813960051E-08,1.08764763285658E-08,3.52310805860564E-07,-2.50087112667748E-09,5.92632220360203E-07,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_guide_1.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_guide_1.STL,,217-2799-002 Rev1_13-1;217-2586-005 Rev2_25-1;217-2586-005 Rev2_25-2,tf_roller_guide_1,Axis3,L_roller_guide_joint_1,fixed,-0.021531,0.066595,0.0080608,2.9213,0.76032,3.1416,L_wheel,0,0,0,,,,,,,,,,,,
L_pin_1,-3.46944695195361E-18,6.93889390390723E-18,1.73472347597681E-18,0,0,0,0.00969526908824347,3.09307788698156E-06,-5.29395592033938E-23,1.38966342908909E-22,3.09307788698156E-06,-1.96455395481344E-23,3.02977159007607E-08,0,0,0,0,0,0,package://mecanum_left/meshes/L_pin_1.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_pin_1.STL,,217-2586-007 Rev1_13-1,tf_pin_1,Axis3,L_pin_joint_1,fixed,-0.0017313,-0.0075354,0,-3.1416,0,-3.1416,L_roller_guide_1,0,0,0,,,,,,,,,,,,
L_roller_1,-6.93889390390723E-18,1.38777878078145E-17,0.000416829972399394,0,0,0,0.0124720328640108,1.262792485374E-06,-1.32348898008484E-22,1.05879118406788E-22,1.262792485374E-06,7.2394847210641E-21,1.00773272644086E-06,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_1.STL,,217-2586-004 Rev1_26-1;217-2586-003 Rev2_25-1,tf_roller_1,Axis3,L_roller_joint_1,continuous,0,0,0.01562,0,0,0,L_pin_1,0,0,1,,,,,,,,,,,,
L_roller_2,-2.94902990916057E-17,-1.38777878078145E-17,-0.000416829972400277,0,0,0,0.0124720328640106,1.2627924853726E-06,-7.94093388050907E-23,1.58818677610181E-22,1.2627924853726E-06,6.02187485938604E-21,1.00773272643869E-06,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_2.STL,,217-2586-004 Rev1_26-2;217-2586-003 Rev2_25-2,tf_roller_2,Axis3,L_roller_joint_2,continuous,0,0,-0.01562,0,0,0,L_pin_1,0,0,1,,,,,,,,,,,,
L_roller_guide_2,-0.0034219429338815,-0.0148935897368773,5.8215648328884E-08,0,0,0,0.0054860090408283,4.75779903034699E-07,-2.99517906907996E-08,1.08772463225165E-08,3.52314404362165E-07,-2.49706058218484E-09,5.92632449411187E-07,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_guide_2.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_guide_2.STL,,217-2799-002 Rev1_13-3;217-2586-005 Rev2_25-6;217-2586-005 Rev2_25-5,tf_roller_guide_2,Axis7,L_roller_guide_joint_2,fixed,0.021724,0.066532,0.0080608,-0.22029,-0.76032,0,L_wheel,0,0,0,,,,,,,,,,,,
L_pin_2,0,0,1.73472347597681E-18,0,0,0,0.00969526908824346,3.09307788698156E-06,-7.94093388050907E-23,7.04096137405137E-21,3.09307788698156E-06,-5.72822574192972E-22,3.02977159007608E-08,0,0,0,0,0,0,package://mecanum_left/meshes/L_pin_2.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_pin_2.STL,,217-2586-007 Rev1_13-3,tf_pin_2,Axis7,L_pin_joint_2,fixed,-0.0017313,-0.0075354,0,0,0,0,L_roller_guide_2,0,0,0,,,,,,,,,,,,
L_roller_3,1.04083408558608E-17,-1.38777878078145E-17,0.000416829972400289,0,0,0,0.0124720328640106,1.2627924853726E-06,3.97046694025453E-23,1.58818677610181E-22,1.2627924853726E-06,-5.93584807568053E-21,1.00773272643869E-06,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_3.STL,,217-2586-004 Rev1_26-6;217-2586-003 Rev2_25-6,tf_roller_3,Axis7,L_roller_joint_3,continuous,0,0,0.01562,0,0,0,L_pin_2,0,0,1,,,,,,,,,,,,
L_roller_4,6.93889390390723E-18,0,-0.000416829972399599,0,0,0,0.0124720328640106,1.26279248537287E-06,-1.85288457211878E-22,6.88214269644119E-22,1.26279248537287E-06,6.73655890863186E-21,1.00773272643869E-06,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_4.STL,,217-2586-004 Rev1_26-5;217-2586-003 Rev2_25-5,tf_roller_4,Axis7,L_roller_joint_4,continuous,0,0,-0.01562,0,0,-2.9367,L_pin_2,0,0,1,,,,,,,,,,,,
L_roller_guide_3,-0.0106583523572694,-0.0109511695926515,5.55759920835633E-08,0,0,0,0.00548600853182755,4.1590304715287E-07,-6.85900450211674E-08,7.99909345109826E-09,4.12191272269148E-07,-7.78241300890974E-09,5.9263232105924E-07,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_guide_3.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_guide_3.STL,,217-2799-002 Rev1_13-4;217-2586-005 Rev2_25-8;217-2586-005 Rev2_25-7,tf_roller_guide_3,Axis11,L_roller_guide_joint_3,fixed,0.056682,0.041056,0.0080608,-0.60902,-0.53139,0,L_wheel,0,0,0,,,,,,,,,,,,
L_pin_3,6.93889390390723E-18,-3.46944695195361E-18,0,0,0,0,0.00969526908824347,3.09307788698156E-06,1.05879118406788E-22,-1.5356608072047E-21,3.09307788698156E-06,2.82895769493135E-21,3.0297715900761E-08,0,0,0,0,0,0,package://mecanum_left/meshes/L_pin_3.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_pin_3.STL,,217-2586-007 Rev1_13-4,tf_pin_3,Axis11,L_pin_joint_3,fixed,-0.0053926,-0.0055408,0,0,0,-2.8172,L_roller_guide_3,0,0,0,,,,,,,,,,,,
L_roller_5,-2.08166817117217E-17,-2.08166817117217E-17,0.000416829972400258,0,0,0,0.0124720328640106,1.26279248537247E-06,1.85288457211878E-22,3.54695046662738E-21,1.26279248537247E-06,-3.17637355220363E-22,1.00773272643841E-06,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_5.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_5.STL,,217-2586-004 Rev1_26-8;217-2586-003 Rev2_25-8,tf_roller_5,Axis11,L_roller_jont_5,continuous,0,0,0.01562,0,0,2.8172,L_pin_3,0,0,1,,,,,,,,,,,,
L_roller_6,6.93889390390723E-17,6.93889390390723E-18,-0.000416829972399124,0,0,0,0.0124720328640109,1.26279248538594E-06,2.11758236813575E-22,2.72638729897478E-21,1.26279248538594E-06,-3.4410713482206E-22,1.00773272646311E-06,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_6.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_left/meshes/L_roller_6.STL,,217-2586-004 Rev1_26-7;217-2586-003 Rev2_25-7,tf_roller_6,Axis11,L_roller_joint_6,continuous,0,0,-0.01562,0,0,2.8172,L_pin_3,0,0,1,,,,,,,,,,,,
