Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
R_wheel,-1.48317175754146E-08,-5.26418500313811E-08,0.00816239668824666,0,0,0,0.0932319830483376,9.02527751083902E-05,-7.01082731740573E-10,-2.36958240870123E-11,9.02509075500237E-05,7.80359396795165E-12,0.000174529940633911,0,0,0,0,0,0,package://mecanum_right/meshes/R_wheel.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_wheel.STL,,217-2586-001 Rev4-2;217-2586-001 Rev4-1,tf_R_wheel_1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_roller_guide_1,-0.00342180218811789,-0.0148935708484475,-9.99611997837616E-08,0,0,0,0.00548592520159961,4.75778964640026E-07,-2.99534735678515E-08,-1.08793561547224E-08,3.52303702515227E-07,2.49721398647229E-09,5.92619795292707E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_1.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_1.STL,,217-2586-002 Rev2_26-1;217-2586-005 Rev2_49-1;217-2586-005 Rev2_49-2,tf_R_roller_guide_1,Axis1,R_roller_guide_joint_1,fixed,0.021724,0.066532,0.0080608,0.22029,0.76032,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_1,8.50014503228635E-17,-1.38777878078145E-17,2.92387641875891E-15,0,0,0,0.00969526908824346,3.09307788698156E-06,0,-1.94246823245827E-20,3.09307788698156E-06,8.60474632208287E-22,3.02977159007612E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_1.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_1.STL,,217-2586-007 Rev1_94-1,tf_R_pin_1,Axis1,R_pin_joint_1,fixed,-0.0017313,-0.0075354,0,0,0,0,R_roller_guide_1,0,0,0,,,,,,,,,,,,
R_roller_1,-1.12757025938492E-16,6.24500451351651E-17,-0.000228119247512211,0,0,0,0.0102614605521241,1.02352821766454E-06,-5.29395592033938E-23,-1.34995875968654E-21,1.02352821766454E-06,4.56603698129271E-21,7.96937026000539E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_1.STL,,217-2586-004 Rev1_76-1;217-2586-003 Rev2_67-1,tf_R_roller_1,Axis1,R_roller_joint_1,continuous,0,0,-0.01562,0,0,0,R_pin_1,0,0,1,,,,,,,,,,,,
R_roller_2,-6.07153216591882E-17,-2.08166817117217E-17,0.000228119247517429,0,0,0,0.0102614605521242,1.02352821766558E-06,1.32348898008484E-22,-3.17637355220363E-22,1.02352821766558E-06,5.34027803464235E-21,7.96937026002156E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_2.STL,,217-2586-004 Rev1_76-2;217-2586-003 Rev2_67-2,tf_R_roller_2,Axis1,R_roller_joint_2,continuous,0,0,0.01562,0,0,0,R_pin_1,0,0,1,,,,,,,,,,,,
R_roller_guide_2,0.00342186181927153,-0.0148935525173834,-9.08997759545976E-08,0,0,0,0.00548592548678133,4.75781915102192E-07,2.99475121972126E-08,-1.08781021799698E-08,3.52300984370672E-07,-2.50146577009546E-09,5.92619648790579E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_2.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_2.STL,,217-2586-002 Rev2_26-2;217-2586-005 Rev2_49-4;217-2586-005 Rev2_49-3,tf_R_roller_guide_2,Axis2,R_roller_guide_joint_2,fixed,-0.021531,0.066595,0.0080608,-0.22029,0.76032,0,R_wheel,0,0,0,,,,,,,,,,,,
R_pin_2,3.88578058618805E-16,1.17961196366423E-16,2.68882138776405E-17,0,0,0,0.00969526908824346,3.09307788698156E-06,-2.64697796016969E-23,2.23338765389317E-23,3.09307788698156E-06,6.47682419629021E-22,3.02977159007609E-08,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_2.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_pin_2.STL,,217-2586-007 Rev1_94-2,tf_R_pin_2,Axis2,R_pin_joint_2,fixed,0.0017313,-0.0075354,0,0,0,0,R_roller_guide_2,0,0,0,,,,,,,,,,,,
R_roller_3,3.64291929955129E-16,1.2490009027033E-16,-0.000228119247514565,0,0,0,0.0102614605521241,1.02352821766474E-06,-1.32348898008484E-23,-2.91167575618666E-22,1.02352821766474E-06,-4.92337900591562E-21,7.96937026000538E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_3.STL,,217-2586-004 Rev1_76-4;217-2586-003 Rev2_67-4,tf_R_roller_3,Axis2,R_roller_joint_3,continuous,0,0,-0.01562,0,0,0,R_pin_2,0,0,1,,,,,,,,,,,,
R_roller_4,3.81639164714898E-16,1.04083408558608E-16,0.000228119247514633,0,0,0,0.0102614605521241,1.02352821766474E-06,-7.27918939046664E-23,-5.55865371635635E-22,1.02352821766474E-06,-4.79103010790714E-21,7.96937026000539E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_4.STL,,217-2586-004 Rev1_76-3;217-2586-003 Rev2_67-3,tf_R_roller_4,Axis2,R_roller_jont_4,continuous,0,0,0.01562,0,0,0,R_pin_2,0,0,1,,,,,,,,,,,,
R_roller_guide_3,0.010658272714687,-0.0109511804774282,-9.62746396051053E-08,0,0,0,0.00548592624497298,4.15904879219345E-07,6.85949249227141E-08,-7.99755966189254E-09,4.12177911777924E-07,-7.78673905451306E-09,5.92619783746576E-07,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_3.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://mecanum_right/meshes/R_roller_guide_3.STL,,217-2586-002 Rev2_26-3;217-2586-005 Rev2_49-6;217-2586-005 Rev2_49-5,tf_R_roller_guide_3,Axis3,R_roller_guide_joint_3,fixed,-0.056682,0.041056,0.0080608,-0.60902,0.53139,0,R_wheel,0,0,0,,,,,,,,,,,,
